"year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1895",1.08,0.78,0.11,0.1,1.12,0.63,4.07,3.74,1.25,0.81,1.73,0.23
"1896",0.25,0.2,0.2,0.15,0.01,0.71,3.25,1.8,2.37,4.28,0.1,0.22
"1897",1.29,0.2,1.15,0.69,1.09,0.56,2.57,2.57,4.77,1.99,0.08,0.69
"1898",1.13,0.35,0.98,0.88,0.31,1.89,3.49,2.87,0.66,0.05,0.93,1.19
"1899",0.22,0.21,0.43,0.55,0.03,0.78,3.91,1.43,1.17,0.47,0.5,0.24
"1900",0.69,0.5,1.08,0.94,0.36,0.23,1.18,0.94,3.53,0.43,0.75,0.28
"1901",0.63,1.28,0.47,0.28,0.62,0.04,2.04,1.44,1.09,1.36,0.82,0.22
"1902",0.64,0.31,0.3,0.14,0.85,0.27,1.01,4.01,1.89,0.19,1.18,1.63
"1903",0.34,0.81,0.86,0.26,0.53,2.43,0.86,3.25,2.62,0,0,0.07
"1904",0.23,0.22,0.38,0.09,0.29,0.58,1.56,2.92,2.61,2.28,0.07,1.64
"1905",2.21,3.31,3.18,2.98,0.17,1.09,1.76,1.51,2.44,0.38,4.03,2.24
"1906",0.47,1.43,0.99,1.31,0.26,0,3.05,3.47,1.99,0.59,1.5,3.92
"1907",1.73,0.62,0.21,1.74,1,0.83,1.9,5.33,1.34,2.3,0.69,0.11
"1908",0.67,1.7,0.69,1.68,0.59,0.16,3.12,3.1,0.67,0.27,0.85,0.78
"1909",0.24,0.8,1.76,0.11,0.02,0.26,2.57,3.72,1.66,0.16,0.35,1.09
"1910",0.62,0.23,0.17,1.16,0.34,0.68,1.81,2.4,1.01,0.84,1.16,0.2
"1911",1.07,2.76,1.79,0.92,0.08,1.67,5.19,1.7,2.4,2.49,0.1,0.64
"1912",0.02,0.76,1.84,0.94,0.08,1.44,3.33,2.95,0.56,1.23,0.09,1.11
"1913",0.73,1.81,0.65,0.65,0.18,1.05,1.29,2.69,2.36,0.75,1.86,1.61
"1914",0.31,0.49,0.64,0.67,1,1.31,5.96,3.32,0.9,2.74,0.61,3.26
"1915",1.59,1.15,1.38,2.18,0.23,0.32,4.74,1.8,2.48,0.16,0.46,1.44
"1916",2.79,0.37,1.58,1.34,0.4,0,3.28,3.1,0.85,4.27,0.09,0.52
"1917",1.51,0.75,0.07,0.29,0.6,0.14,2.21,1.73,1.77,0.09,0.01,0
"1918",1.45,0.87,0.52,0.22,0.51,1.25,2.85,2.33,0.37,1.89,1.64,1.82
"1919",0.39,1.27,1.83,1.73,0.76,0.82,4.8,2.54,1.88,0.71,1.71,0.97
"1920",1.87,1.19,1.2,0.98,0.57,1.19,1.72,2.85,1.43,1.19,0.21,0.31
"1921",0.49,0.42,0.57,0.19,0.7,1.15,5.13,3.08,0.75,0.4,0.19,0.83
"1922",0.77,0.44,0.62,0.84,0.13,0.64,1.26,1.54,0.65,0.44,1.41,0.36
"1923",0.47,1.48,0.83,0.69,0.14,0.11,2.23,5.39,2.32,0.78,1.87,2.86
"1924",0.22,0.59,1.45,0.83,0.23,0.12,3.87,0.6,0.42,0.17,0.22,1.07
"1925",0.27,0.19,0.74,0.32,0.41,0.79,2.37,3.75,1.67,1.65,0.18,0.53
"1926",0.82,0.2,3.04,1.85,1.81,0.48,2.63,1.46,2.14,1.73,0.15,2.19
"1927",0.08,0.98,1.15,0.84,0.1,1.36,2.83,3.32,4.15,0.18,0.23,1.1
"1928",0.04,2.07,0.4,0.94,2.2,0,2.27,3.63,0.38,1.55,0.85,0.39
"1929",0.32,0.67,0.68,0.39,1.81,0.08,4.24,4.25,3.26,1.24,0.46,0.15
"1930",1.22,0.34,1.39,0.63,0.4,0.32,4.21,2.36,1.05,0.3,1.28,0.37
"1931",0.4,2.51,0.93,2.64,0.61,1.31,2.88,3.39,3.54,0.64,1.35,0.9
"1932",1.41,1.33,1.23,0.64,0.73,0.29,4.17,3.18,1.27,0.91,0,1.57
"1933",0.83,1.34,0.11,0.56,0.29,2.5,3.76,2.26,2.18,1.66,1.02,0.33
"1934",0.22,0.57,0.58,0.82,0.8,0.36,1.45,4.36,1.56,0.61,0.68,1.21
"1935",1.97,1.45,0.53,0.98,1.46,0.26,1.72,4.41,2.84,0.18,1.29,1.55
"1936",1.36,1.39,0.46,0.54,0.88,0.78,1.71,2.5,2.97,0.5,0.58,0.75
"1937",0.73,1.57,1.4,0.14,1.72,1.78,1.94,1.85,2.34,1.48,0.09,0.89
"1938",0.51,1.07,1.36,0.53,0.13,1.99,2.16,1.6,2.51,0.08,0.13,1.08
"1939",1.46,0.82,1.78,1.1,0.14,0.1,1.77,1.57,2.04,1.34,0.77,0.7
