"year","rwi","samp.depth"
-136,0.568,1
-135,1.024,1
-134,0.9,1
-133,0.33,1
-132,0.382,1
-131,0.625,1
-130,1.425,1
-129,2.846,1
-128,2.787,1
-127,1.5,1
-126,0.148,1
-125,0.148,1
-124,0.148,1
-123,0.148,1
-122,0.148,1
-121,0.148,1
-120,1.489,4
-119,1.203,4
-118,1.809,4
-117,1.191,4
-116,3.064,4
-115,1.651,4
-114,0.486,4
-113,0.336,4
-112,2.526,4
-111,0.926,4
-110,0.89,4
-109,1.6,4
-108,0.984,4
-107,0.41,4
-106,1.482,4
-105,0.567,4
-104,0.319,4
-103,0.306,4
-102,1.198,4
-101,1.432,4
-100,0.295,4
-99,0.701,4
-98,1.171,4
-97,0.921,4
-96,1.479,4
-95,0.852,4
-94,1.272,4
-93,0.3,4
-92,1.409,4
-91,0.238,4
-90,0.695,4
-89,2.383,4
-88,0.496,4
-87,0.208,4
-86,0.881,4
-85,0.669,4
-84,0.961,4
-83,0.302,4
-82,1.577,4
-81,0.913,4
-80,0.147,4
-79,0.714,4
-78,0.18,4
-77,0.962,4
-76,0.308,4
-75,0.544,4
-74,0.529,4
-73,0.636,4
-72,0.44,4
-71,0.392,4
-70,0.495,4
-69,0.395,4
-68,0.866,4
-67,0.382,4
-66,1.083,4
-65,1.113,4
-64,0.912,4
-63,1.695,4
-62,1.631,4
-61,0.516,4
-60,1.733,4
-59,1.486,4
-58,0.954,4
-57,0.537,4
-56,1.604,4
-55,1.008,4
-54,1.233,4
-53,1.286,4
-52,1.696,4
-51,0.65,4
-50,1.054,4
-49,0.493,4
-48,0.603,4
-47,0.852,4
-46,0.921,4
-45,0.179,4
-44,0.903,4
-43,1.052,4
-42,0.901,4
-41,1.476,4
-40,2.543,4
-39,1.861,4
-38,1.293,4
-37,1.886,4
-36,0.633,4
-35,0.987,4
-34,0.826,4
-33,0.203,4
-32,1.52,4
-31,1.467,4
-30,1.789,4
-29,1.088,4
-28,1.438,4
-27,2.049,4
-26,2.182,4
-25,1.796,4
-24,0.11,4
-23,0.615,4
-22,0.657,4
-21,1.636,4
-20,1.259,4
-19,1.931,4
-18,0.841,4
-17,1.358,4
-16,0.588,4
-15,1.341,4
-14,1.281,4
-13,1.41,4
-12,0.841,4
-11,1.196,4
-10,0.648,4
-9,0.16,4
-8,1.454,4
-7,0.282,4
-6,0.727,4
-5,0.984,4
-4,1.852,4
-3,0.462,4
-2,0.24,4
-1,1.05,4
0,1.42,4
1,0.601,4
2,0.522,4
3,0.898,4
4,0.749,4
5,0.155,4
6,1.386,4
7,0.86,4
8,1.167,4
9,0.98,4
10,1.462,4
11,1.015,4
12,0.84,4
13,0.42,4
14,0.365,4
15,0.713,4
16,1.068,4
17,0.832,4
18,0.974,4
19,1.459,4
20,0.485,4
21,0.694,4
22,0.961,4
23,0.044,4
24,0.627,4
25,0.518,4
26,1.867,4
27,0.607,4
28,0.589,4
29,0.692,4
30,0.759,4
31,1.034,4
32,0.476,4
33,0.715,4
34,0.285,4
35,1.996,4
36,0.377,4
37,1.312,4
38,1.072,4
39,0.847,4
40,0.817,4
